State,City,Station,site_id
Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",site_1406
Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",site_5632
Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",site_5665
Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",site_5693
Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",site_1399
Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",site_5666
Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",site_258
Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",site_5849
Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",site_5685
Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",site_257
Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",site_5981
Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",site_5848
Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",site_260
Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",site_5446
Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",site_5669
Assam,Guwahati,"IITG, Guwahati - PCBA",site_5651
Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",site_5683
Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",site_5417
Assam,Guwahati,"Railway Colony, Guwahati - PCBA",site_5073
Assam,Nagaon,"Christianpatty, Nagaon - PCBA",site_5706
Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",site_5668
Assam,Silchar,"Tarapur, Silchar - PCBA",site_5684
Assam,Sivasagar,"Girls College, Sivasagar - PCBA",site_5658
Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",site_5539
Bihar,Arrah,"New DM Office, Arrah - BSPCB",site_5538
Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",site_5544
Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB (Formerly known as DRCC Anandpur)",site_5540
Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",site_5476
Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",site_5541
Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",site_5543
Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",site_5481
